academic.year,component,cost
1985,Board,1925
1986,Board,1980
1987,Board,2035
1988,Board,2145
1989,Board,2145
1990,Board,2275
1991,Board,2425
1992,Board,2620
1993,Board,2765
1994,Board,2910
1995,Board,3040
1996,Board,3200
1997,Board,3336
1998,Board,3470
1999,Board,3574
2000,Board,3685
2001,Board,3792
2002,Board,3919
2003,Board,4041
2004,Board,4162
2005,Board,4286
2006,Board,4430
2007,Board,4618
2008,Board,4766
2009,Board,4982
2010,Board,4608
2011,Board,4783
2012,Board,4990
2013,Board,5264
2014,Board,5448
2015,Board,5660
2016,Board,5858
2017,Board,6057
1985,Health Services Fee,300
1986,Health Services Fee,324
1987,Health Services Fee,350
1988,Health Services Fee,370
1989,Health Services Fee,405
1990,Health Services Fee,460
1991,Health Services Fee,490
1992,Health Services Fee,550
1993,Health Services Fee,584
1994,Health Services Fee,614
1995,Health Services Fee,634
1996,Health Services Fee,634
1997,Health Services Fee,654
1998,Health Services Fee,666
1999,Health Services Fee,686
2000,Health Services Fee,711
2001,Health Services Fee,745
2002,Health Services Fee,816
2003,Health Services Fee,1020
2004,Health Services Fee,1142
2005,Health Services Fee,1264
2006,Health Services Fee,1370
2007,Health Services Fee,1390
2008,Health Services Fee,1426
2009,Health Services Fee,1426
2010,Health Services Fee,1126
2011,Health Services Fee,1166
2012,Health Services Fee,1186
2013,Health Services Fee,930
2014,Health Services Fee,958
2015,Health Services Fee,992
2016,Health Services Fee,1042
2017,Health Services Fee,1088
1985,Room,1635
1986,Room,1750
1987,Room,1885
1988,Room,2065
1989,Room,2400
1990,Room,2560
1991,Room,2700
1992,Room,2900
1993,Room,3075
1994,Room,3225
1995,Room,3370
1996,Room,3510
1997,Room,3659
1998,Room,3808
1999,Room,3940
2000,Room,4072
2001,Room,4190
2002,Room,4331
2003,Room,4461
2004,Room,4706
2005,Room,4974
2006,Room,5148
2007,Room,5328
2008,Room,5856
2009,Room,6060
2010,Room,7248
2011,Room,7525
2012,Room,7811
2013,Room,8366
2014,Room,8667
2015,Room,9009
2016,Room,9523
2017,Room,9894
1985,Student Services Fee,740
1986,Student Services Fee,780
1987,Student Services Fee,835
1988,Student Services Fee,875
1989,Student Services Fee,950
1990,Student Services Fee,1015
1991,Student Services Fee,1080
1992,Student Services Fee,1150
1993,Student Services Fee,1220
1994,Student Services Fee,1275
1995,Student Services Fee,1335
1996,Student Services Fee,1393
1997,Student Services Fee,1477
1998,Student Services Fee,1536
1999,Student Services Fee,1590
2000,Student Services Fee,1642
2001,Student Services Fee,1689
2002,Student Services Fee,1746
2003,Student Services Fee,1798
2004,Student Services Fee,1852
2005,Student Services Fee,1908
2006,Student Services Fee,1975
2007,Student Services Fee,2044
2008,Student Services Fee,2116
2009,Student Services Fee,2190
2010,Student Services Fee,2190
2011,Student Services Fee,2273
2012,Student Services Fee,2360
2013,Student Services Fee,2360
2014,Student Services Fee,2443
2015,Student Services Fee,2528
2016,Student Services Fee,2604
2017,Student Services Fee,2706
1985,Total,14100
1986,Total,15100
1987,Total,16145
1988,Total,17100
1989,Total,18210
1990,Total,19395
1991,Total,20655
1992,Total,22080
1993,Total,23514
1994,Total,24880
1995,Total,26230
1996,Total,27575
1997,Total,28896
1998,Total,30080
1999,Total,31132
2000,Total,32164
2001,Total,33110
2002,Total,34269
2003,Total,35950
2004,Total,37928
2005,Total,39880
2006,Total,41675
2007,Total,43655
2008,Total,45620
2009,Total,47215
2010,Total,48868
2011,Total,50723
2012,Total,52652
2013,Total,54496
2014,Total,56407
2015,Total,58607
2016,Total,60659
2017,Total,63025
1985,Tuition,9500
1986,Tuition,10266
1987,Tuition,11040
1988,Tuition,11645
1989,Tuition,12310
1990,Tuition,13085
1991,Tuition,13960
1992,Tuition,14860
1993,Tuition,15870
1994,Tuition,16856
1995,Tuition,17851
1996,Tuition,18838
1997,Tuition,19770
1998,Tuition,20600
1999,Tuition,21342
2000,Tuition,22054
2001,Tuition,22694
2002,Tuition,23457
2003,Tuition,24630
2004,Tuition,26066
2005,Tuition,27448
2006,Tuition,28752
2007,Tuition,30275
2008,Tuition,31456
2009,Tuition,32557
2010,Tuition,33696
2011,Tuition,34976
2012,Tuition,36305
2013,Tuition,37576
2014,Tuition,38891
2015,Tuition,40418
2016,Tuition,41632
2017,Tuition,43280
